	var1.pred	var1.var	observed	residual	zscore	fold	easting	northing	optional	
76	44.50467735	130.5808262	53.87799835	9.373321004	0.820264251	76	4242.060825	3414.310772	TRUE	
77	20.33789332	113.0930925	13.34599972	-6.991893601	-0.657471256	77	4235.584048	2949.659751	TRUE	
78	38.37733391	123.1060945	36.31900024	-2.05833367	-0.185513706	78	4411.867059	3355.773833	TRUE	
79	33.13817982	133.5486664	44.6629982	11.52481838	0.997273576	79	4456.985862	3414.216409	TRUE	
80	42.97497381	122.043936	48.09999847	5.125024663	0.463914404	80	4593.127914	3280.25118	TRUE	
81	35.37806285	127.0251738	25.15699959	-10.22106326	-0.906882825	81	4438.12851	3076.89022	TRUE	
82	18.05109258	118.8793544	11.77499962	-6.276092964	-0.575620363	82	4118.732111	2962.574989	TRUE	
83	46.33488392	128.040777	52.64300156	6.308117641	0.557475305	83	4194.581092	3389.28202	TRUE	
84	30.75277384	116.2283611	27.63500023	-3.117773606	-0.289193495	84	4253.259289	3116.417046	TRUE	
85	36.17802524	157.1462792	39.52500153	3.34697629	0.266993436	85	4603.2264	3387.479821	TRUE	
86	42.92241999	127.3705859	40.35599899	-2.566420994	-0.227401501	86	4496.107951	3234.690273	TRUE	
87	30.76529552	133.7455278	33.625	2.859704482	0.247275746	87	4527.871125	2789.372739	TRUE	
88	31.60683581	131.2508865	29.83300018	-1.773835625	-0.154832544	88	4443.598476	3024.901638	TRUE	
89	27.24376253	117.1273741	22.88100052	-4.362762013	-0.40311812	89	4193.899916	3092.562514	TRUE	
90	41.64941017	130.098401	25.70999908	-15.93941108	-1.397450045	90	4523.818333	3341.233763	TRUE	
91	26.83607713	140.4063112	31.22900009	4.392922966	0.37073217	91	4451.494764	2861.56766	TRUE	
92	36.25723471	119.6609318	53.90999985	17.65276514	1.613751106	92	4652.103391	3141.254946	TRUE	
93	17.28692711	112.5376217	18.86800003	1.581072919	0.149040066	93	4230.654512	2928.759716	TRUE	
94	45.48126	133.6989141	49.27700043	3.795740423	0.328271035	94	4137.086276	3404.410548	TRUE	
95	16.64588901	118.2623968	8.217000008	-8.428889	-0.775080831	95	4162.814655	2908.698073	TRUE	
96	33.56086218	122.0464819	27.14599991	-6.414862271	-0.580663736	96	4381.436413	3136.156889	TRUE	
97	43.16704059	116.4522035	53.97999954	10.81295896	1.00200687	97	4578.1918	3118.503605	TRUE	
98	17.07607674	117.785486	24.3560009	7.27992416	0.670781329	98	4214.269032	2969.143935	TRUE	
99	45.94087105	106.9214314	39.54999924	-6.390871811	-0.618055854	99	4565.92363	3066.61602	TRUE	
100	19.09853938	137.3240816	20.40200043	1.303461049	0.111230709	100	4262.249091	2803.860615	TRUE	
101	34.81055752	128.2640029	36.05899811	1.248440585	0.110233979	101	4192.615395	3163.858683	TRUE	
102	33.5538034	126.0210708	45.57500076	12.02119736	1.070843845	102	4291.843492	3183.35295	TRUE	
103	46.39032494	127.1715522	41.29800034	-5.092324603	-0.451565853	103	4600.099487	3206.373433	TRUE	
104	31.57019569	135.2721968	31.45800018	-0.112195507	-0.009646532	104	4505.857416	2928.268371	TRUE	
105	34.87217872	125.1260179	35.37200165	0.499822928	0.044683004	105	4393.19216	3172.959099	TRUE	
106	38.9229412	118.5704522	38.27999878	-0.64294242	-0.059045097	106	4372.039459	3299.369867	TRUE	
107	20.06260949	134.3029815	20	-0.062609494	-0.005402532	107	4289.675117	2863.56127	TRUE	
108	38.93275123	114.4679981	34.74599838	-4.186752844	-0.391322915	108	4399.430563	3317.12145	TRUE	
109	24.20377699	116.6072322	20.22900009	-3.974776899	-0.368086605	109	4063.041891	3023.498902	TRUE	
110	41.40661708	174.8722742	42.7480011	1.341384022	0.101436125	110	4212.503524	3536.761427	TRUE	
111	25.89324007	120.8259684	20.125	-5.768240066	-0.524762974	111	4177.993238	3074.775489	TRUE	
112	15.20913861	116.655819	14.3579998	-0.851138809	-0.078803805	112	4124.656084	2926.97343	TRUE	
113	34.12273605	120.0343351	18.95700073	-15.16573532	-1.38423787	113	4305.276024	3131.224528	TRUE	
114	37.96397585	119.7499945	39.69400024	1.73002439	0.158093668	114	4400.44413	3276.643304	TRUE	
115	35.13280441	150.0131453	25.39999962	-9.732804788	-0.794645364	115	4497.618225	3484.511841	TRUE	
116	35.74226842	154.3463999	35.22299957	-0.519268848	-0.041796895	116	4368.436679	3515.858952	TRUE	
117	34.29285797	192.4692548	20.40200043	-13.89085754	-1.001263477	117	4454.283247	3623.075404	TRUE	max(pmk.exp.cv$var1.var)
118	45.03544467	117.7147739	36.94599915	-8.089445522	-0.745595483	118	4023.479757	3321.221184	TRUE	
119	42.56496097	113.076589	43.12599945	0.561038478	0.052760184	119	4051.686288	3290.258793	TRUE	
120	38.80686091	110.3098266	60.58100128	21.77414037	2.073165235	120	3984.566786	3167.71473	TRUE	
121	44.54038495	120.0543865	42.01399994	-2.526385011	-0.230574099	121	3946.893319	3257.276479	TRUE	
122	40.88996864	121.026679	37.93299866	-2.95696998	-0.268785822	122	4088.473255	3225.708943	TRUE	
123	40.34877752	105.6008761	49.9090004	9.560222881	0.930324068	123	3941.730767	3185.635925	TRUE	
124	42.02433591	113.8111829	40.27199936	-1.752336551	-0.16425744	124	4076.266892	3259.350026	TRUE	
125	38.90500023	110.4986641	33.22600174	-5.678998494	-0.540248089	125	3929.267973	3162.273564	TRUE	
126	44.23403688	129.2988932	41.53300095	-2.701035938	-0.237537925	126	4073.104735	3364.543106	TRUE	
127	32.49435371	126.5180946	26.95499992	-5.539353788	-0.492473405	127	3885.628617	3150.231259	TRUE	
128	43.55971147	125.6460941	41.79100037	-1.768711107	-0.157791065	128	4114.587727	3311.905437	TRUE	
129	41.63252295	120.2312509	36.02799988	-5.60452307	-0.51112836	129	4033.510708	3167.109657	TRUE	
130	43.31037764	115.5655436	45.09199905	1.781621415	0.165730042	130	4027.211565	3231.17272	TRUE	
131	42.71758733	108.3233647	43.80699921	1.089411876	0.104672123	131	3938.520456	3200.914841	TRUE	
132	41.51605665	124.0502401	50.36899948	8.852942833	0.794856729	132	3987.515254	3310.903116	TRUE	
133	43.93349119	112.1143829	49.65200043	5.718509241	0.540072622	133	3967.945888	3237.968189	TRUE	
